Id,SalePrice
1461,141606.76074161706
1462,154803.18268903473
1463,191661.86597926912
1464,191408.11864436397
1465,168145.9719316112
1466,173971.74221408807
1467,173890.0367057714
1468,159395.9374677197
1469,177344.24836717057
1470,136303.359472944
1471,189232.99423747757
1472,118920.77260948837
1473,121873.5947764772
1474,156427.7657299744
1475,114803.84704879152
1476,294298.5504448545
1477,231173.88009967844
1478,242747.68476425993
1479,242047.32121550592
1480,469000.41362746264
1481,295556.4283075513
1482,183109.3510010943
1483,174481.30704461967
1484,159319.89325609387
1485,154466.6399617942
1486,186549.81856658054
1487,328318.6938966058
1488,238125.22548455742
1489,181589.28863256285
1490,208555.99880511325
1491,186965.97466630288
1492,110611.37101979436
1493,177281.7886464865
1494,267459.53511515755
1495,271091.77490880963
1496,205387.29410066095
1497,188424.39204735254
1498,151621.9105829588
1499,151663.36028731044
1500,155007.30009337864
1501,173918.05251377544
1502,143665.67757906875
1503,240163.8147880847
1504,215523.1734579505
1505,211385.98473822002
1506,202093.10182502092
1507,286174.3513855957
1508,211864.61001399197
1509,156302.21159954104
1510,150796.7978000957
1511,151711.5068151025
1512,181881.31670965735
1513,153888.6369573199
1514,170057.03633176335
1515,214466.0236645877
1516,146188.90000248054
1517,147932.00608538877
1518,174392.95848006496
1519,220870.8540851889
1520,131961.32121723576
1521,136965.3029529923
1522,165745.82858699336
1523,125290.50995271726
1524,117526.62302003092
1525,118646.01162981155
1526,118856.93833451066
1527,119677.07525858759
1528,137562.49610140876
1529,141295.24341514762
1530,185773.0209486558
1531,128622.97155275308
1532,94121.40722305357
1533,152792.50318946628
1534,121472.63177486329
1535,153461.17991809346
1536,117965.60500014188
1537,118524.95823150198
1538,128978.2723690435
1539,161568.11925592713
1540,135422.1525133706
1541,144924.46220061826
1542,155767.27178338397
1543,168449.32650162352
1544,94566.96908507521
1545,108911.68659455658
1546,124365.41942855288
1547,128681.0050828796
1548,132484.66457669722
1549,129808.30231998666
1550,139643.24537109287
1551,115105.92185199018
1552,160821.90939222398
1553,125811.19764435691
1554,112013.69269463205
1555,167173.69474749992
1556,103631.19510728505
1557,114755.95332965422
1558,100907.39494822599
1559,116732.28518296186
1560,139200.0203198624
1561,166144.12394680025
1562,127231.06856338041
1563,121574.82350831587
1564,176976.23803795848
1565,151991.15435045896
1566,216719.29313945066
1567,101073.13578286603
1568,221890.51658577722
1569,155824.85669253732
1570,124209.33584566698
1571,129327.45902559378
1572,147504.07532853202
1573,216338.1245291268
1574,148692.5940860339
1575,194941.9559586034
1576,256196.6763650926
1577,178297.1922897793
1578,126769.95870974667
1579,153815.22391580322
1580,184923.19411035336
1581,141614.31600551485
1582,127616.42377431254
1583,305819.4121954995
1584,233625.91207359202
1585,142205.63713916801
1586,89676.75891251306
1587,106075.32861126987
1588,148473.63440049006
1589,124802.46146761757
1590,134154.06685336528
1591,102246.77050613752
1592,125364.80755983855
1593,110897.62995442237
1594,158503.21192088127
1595,119165.70135791755
1596,190653.02592530704
1597,198396.10376035437
1598,170415.2784804743
1599,156079.2472303215
1600,159400.6922958712
1601,87357.90111962451
1602,126432.19987898563
1603,95554.14200596113
1604,225546.7065084705
1605,226914.31938438528
1606,167544.31672139306
1607,244492.3326609224
1608,195412.22749609925
1609,170873.33942803906
1610,156185.2287146307
1611,148085.4137147671
1612,193372.77293980253
1613,197030.75478661622
1614,127657.12953493281
1615,108752.96305544769
1616,104561.37278486713
1617,119160.93515673396
1618,125336.73178674064
1619,140028.7505856497
1620,249743.41600570126
1621,157207.19167571375
1622,149249.88638029151
1623,223815.84241308336
1624,216397.55395237813
1625,123047.04301109508
1626,178448.14004213302
1627,190279.28729353298
1628,257850.50175234178
1629,159180.63579253748
1630,336894.2382336505
1631,189193.27177130323
1632,211234.57031555029
1633,152991.35031566914
1634,179570.35870850776
1635,163643.43443449645
1636,153071.19766472947
1637,204386.10448903157
1638,198097.06909337
1639,192281.3743572463
1640,252288.52342350147
